id,log_date,timestamp,location,dominan,aqi,pm25,pm10,co,no2,so2,o3
186,2025-04-22 17:32:19.887583+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
187,2025-04-22 17:33:20.580827+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
188,2025-04-22 17:34:21.268849+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
189,2025-04-22 17:35:21.976957+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
190,2025-04-22 17:36:22.640512+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
191,2025-04-22 17:37:23.32349+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
192,2025-04-22 17:38:24.022806+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
193,2025-04-22 17:39:24.687241+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
194,2025-04-22 17:40:25.346268+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
195,2025-04-22 17:41:26.005527+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
196,2025-04-22 17:42:26.988032+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
197,2025-04-22 17:43:27.681448+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
198,2025-04-22 17:44:28.381955+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
199,2025-04-22 17:45:29.066055+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
200,2025-04-22 17:46:29.773813+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
201,2025-04-22 17:47:30.778146+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
202,2025-04-22 17:48:31.508083+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
203,2025-04-22 17:49:32.206694+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
204,2025-04-22 17:50:32.898714+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
205,2025-04-22 17:51:33.969584+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
206,2025-04-22 17:52:34.673284+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
207,2025-04-22 17:53:35.36206+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
208,2025-04-22 17:54:36.379173+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
209,2025-04-22 17:55:37.388372+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
210,2025-04-22 17:56:38.087321+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
211,2025-04-22 17:57:38.757446+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
212,2025-04-22 17:58:39.463411+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
213,2025-04-22 17:59:40.163616+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
214,2025-04-22 18:00:40.837764+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
215,2025-04-22 18:01:41.551655+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
216,2025-04-22 18:02:42.266679+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
217,2025-04-22 18:03:42.976714+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
218,2025-04-22 18:04:44.000576+07,2025-04-22 17:00:00+07,surabaya,pm25,115,115,49,,49,44,81
219,2025-04-22 18:05:44.704368+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
220,2025-04-22 18:06:45.403528+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
